time_s,lat_deg,lon_deg,alt_m
13.314219919,47.3979687,8.5461695,47.80021911549956
13.334283999,47.3979686,8.5461695,47.79121906844324
13.35471847,47.3979685,8.5461696,47.78321888183309
13.373565585,47.3979684,8.5461696,47.76821883477709
13.395337608,47.3979684,8.5461697,47.75621869522311
13.406049857,47.3979694,8.5461677,47.29722195687333
13.414178979,47.3979683,8.5461698,47.736218508613355
13.433982409,47.3979683,8.5461698,47.72521850861336
13.454160038,47.3979683,8.5461699,47.719218369059384
13.473598729,47.3979684,8.54617,47.714218276561155
13.494078695,47.3979685,8.5461701,47.710218184063045
13.514733172,47.3979685,8.5461701,47.707218184063045
13.528572065,47.3979697,8.5461672,47.12022279581878
13.534249202,47.3979687,8.5461702,47.69921813862119
13.554661063,47.3979688,8.5461703,47.69321804612342
13.573643204,47.3979689,8.5461704,47.683217953625764
13.594669548,47.3979691,8.5461705,47.67621790818488
13.614673112,47.3979692,8.5461706,47.668217815687534
13.634027719,47.3979694,8.5461707,47.66121777024745
13.653942373,47.3979695,8.5461708,47.65621767775044
13.654228527,47.3979722,8.5461712,47.4462183901349
13.673738482,47.3979695,8.5461709,47.67421753819618
13.694828352,47.3979694,8.5461711,47.69921721203043
13.714263063,47.3979694,8.5461712,47.714217072476174
13.734108539,47.3979693,8.5461714,47.73321674631068
13.75389478,47.3979693,8.5461715,47.74321660675643
13.774117307,47.3979692,8.5461717,47.755216280591185
13.781619972,47.3979713,8.5461775,47.50720917463578
13.794615796,47.3979692,8.5461719,47.76121600148272
13.814053267,47.3979691,8.5461721,47.76721567531777
13.834278331,47.3979691,8.5461724,47.76821525665508
13.853992566,47.3979691,8.5461728,47.76721469843815
13.874068209,47.3979691,8.546173,47.765214419329666
13.894883571,47.3979691,8.5461734,47.75921386111263
13.906705245,47.3979729,8.5461778,48.23220950892633
13.913963728,47.3979692,8.5461736,47.754213629060224
13.934606632,47.3979692,8.546174,47.74521307084304
13.9540823,47.3979692,8.5461741,47.73721293128873
13.974276723,47.3979693,8.5461744,47.7252125596819
13.994832221,47.3979694,8.5461746,47.71621232762944
14.0139099,47.3979695,8.5461748,47.70121209557701
14.027736647,47.3979686,8.5461781,47.994207066785634
14.034187087,47.3979696,8.5461749,47.69021200307907
14.054261969,47.3979697,8.5461751,47.67821177102675
14.075201697,47.3979698,8.5461753,47.675211538974494
14.095288902,47.39797,8.5461754,47.668211493533754
14.11398447,47.3979701,8.5461755,47.665211401036295
14.134195631,47.3979704,8.5461757,47.664211263099176
14.154175722,47.3979705,8.5461758,47.66421117060217
14.154546371,47.3979695,8.5461772,47.33220874627046
14.175380303,47.3979707,8.546176,47.66121098560845
14.194471097,47.3979709,8.5461761,47.65921094016995
14.213742599,47.3979711,8.5461763,47.657210755177104
14.235072847,47.3979713,8.5461764,47.6542107097396
14.254401743,47.3979715,8.5461766,47.64821052474764
14.275088958,47.3979716,8.5461767,47.64421043225183
14.281778092,47.3979743,8.5461782,47.480209609572036
14.294571563,47.3979719,8.5461769,47.63621029432002
14.314025181,47.397972,8.546177,47.62921020182467
14.333958403,47.3979718,8.5461767,47.716210526370524
14.353916093,47.3979716,8.5461765,47.78621071136172
14.374857778,47.3979713,8.5461761,47.8872111284042
14.39540089,47.3979711,8.5461758,47.95121145295119
14.405609403,47.3979707,8.5461765,47.58821028783485
14.413682255,47.3979708,8.5461755,48.04521173044019
14.433883426,47.3979706,8.5461752,48.104212054988025
14.45442106,47.3979703,8.5461749,48.189212332478526
14.475094192,47.3979701,8.5461746,48.24321265702722
14.494669838,47.3979698,8.5461742,48.31921307407365
14.513943744,47.3979696,8.546174,48.36721325906877
14.528193574,47.3979657,8.5461776,48.8562064000455
14.534770732,47.3979693,8.5461736,48.434213676116514
14.554217578,47.3979691,8.5461733,48.47521400066689
14.574916377,47.3979688,8.5461729,48.535214417715935
14.594619802,47.3979685,8.5461727,48.57621455565755
14.614015596,47.3979681,8.5461723,48.63121492565338
14.634139667,47.3979678,8.5461721,48.66321506359746
14.653706789,47.3979674,8.5461717,48.70721543359634
14.654088617,47.3979672,8.5461765,47.57520864090447
14.674292439,47.3979671,8.5461715,48.73221557154284
14.694707228,47.3979667,8.5461712,48.764215801991085
14.714532404,47.3979664,8.546171,48.78121593994015
14.734011278,47.397966,8.5461707,48.801216170391726
14.754368471,47.3979658,8.5461705,48.81121635539491
14.775771176,47.3979654,8.5461702,48.82221658584927
14.781769399,47.3979674,8.5461716,49.225215573150116
14.794841476,47.3979651,8.54617,48.826216723802936
14.813743546,47.3979647,8.5461698,48.82821681470747
14.834314387,47.3979645,8.5461696,48.827216999713585
14.854898374,47.3979641,8.5461694,48.823217090621135
14.874164951,47.3979639,8.5461692,48.81821727562861
14.895270504,47.3979635,8.546169,48.80721736653918
14.906889813,47.3979626,8.5461738,48.15621024458016
14.914544165,47.3979632,8.5461688,48.797217504499855
14.934107411,47.3979628,8.5461685,48.78121773496664
14.954500099,47.3979625,8.5461683,48.76821787292985
14.975035172,47.3979621,8.546168,48.74521810339996
14.99462965,47.3979618,8.5461678,48.72921824136567
15.014804705,47.3979614,8.5461674,48.70121861139135
15.027187946,47.397959,8.5461692,49.72721497040899
15.034013178,47.3979611,8.5461672,48.682218749359535
15.054676338,47.3979607,8.5461667,48.650219258940346
